医院,145
医生,93
政策,60
生育,54
小孩,53
办理,43
患者,40
计生办,37
独生子女,36
准生证,36
二胎,34
家庭,34
户口,33
检查,33
卫生院,32
K市,32
计划生育,32
计生,32
卫生局,31
A市,31
执业,31
孩子,30
病人,29
卫生室,28
二孩,28
手术,27
再婚,26
医疗,25
药品,24
卫生,23
主任,23
医师,23
条例,22
乡镇,22
老婆,22
超生,22
罚款,22
家属,21
证明,20
住院,19
地省,19
计委,19
治疗,17
费用,17
抚养费,17
夫妻,17
子女,17
行医,17
诊所,17
看病,16
门诊,16
报销,16
护士,16
上户,16
享受,16
工作,16
L市,15
社会,15
生二胎,15
楚雅,14
单独,14
医疗事故,13
医疗机构,13
独生子女证,13
妇幼保健,13
计生委,13
D市,12
落实,12
怀孕,12
非法,12
出台,12
奖励,12
退休,12
农村户口,12
上级领导,12
医改,11
出院,11
服务,11
公共卫生,11
中心医院,11
基层,11
给予,11
妻子,11
女儿,11
科室,11
疫苗,11
病情,11
E市,10
农村,10
结扎,10
抢救,10
医护人员,10
新生儿,10
告知,10
咨询,10
初婚,10
女方,10
两个,10
男方,10
第一胎,10
儿子,10
收费,10
严查,9
医保,9
违法,9
宝宝,9
医患,9
C市,9
申请,9
实施,9
中医,9
注册,9
医务人员,9
第二胎,9
人员,9
领取,9
鉴定,8
管理,8
补助,8
不知,8
出生证明,8
签字,8
医学,8
社区,8
结婚,8
合法,8
登记,8
符合,8
省份,8
主治医生,8
M市,8
许可证,8
村医,8
院方,8
投诉,8
接种,8
中医院,8
免费,8
附二,8
发放,8
上班,8
院长,8
手续,7
爱人,7
主管部门,7
男孩,7
盖章,7
开具,7
产假,7
征收,7
婚前,7
抚养,7
判给,7
就医,7
证件,7
人口,7
一胎,7
修正案,7
违反,7
挂号,7
药物,7
生命,7
CT,7
J市,7
导致,7
农合,6
网上,6
多钱,6
无证,6
前夫,6
标准,6
上访,6
B超,6
工作人员,6
待遇,6
取消,6
开药,6
提倡,6
病历,6
法院,6
说法,6
重视,6
药房,6
放开,6
医务,6
日起,6
结婚证,6
输液,6
再生,6
妇幼,6
承包,6
留言,6
每月,6
单位,6
农民,5
收取,5
救死扶伤,5
三甲,5
有没有,5
ICU,5
承担,5
上级,5
检验,5
记录,5
派出所,5
补办,5
问问,5
有个,5
提供,5
文件,5
离婚,5
晚婚晚育,5
出具,5
三胎,5
张健,5
试问,5
工资,5
领证,5
询问,5
此致,5
国务院,5
该院,5
私人,5
用药,5
耳鼻喉科,5
妇产科,5
个体,5
监督,5
体检,5
省市,5
此事,5
打工,5
药店,5
排队,5
职工,5
资料,5
公卫,5
嚣张,5
一孩,5
两孩,5
工作者,5
考试,5
离异,5
抢生,5
发文,5
事业单位,5
资格证,5
回家,4
春节,4
I市,4
考核,4
药都,4
一次性,4
本村,4
医技,4
为难,4
优惠政策,4
人民政府,4
前妻,4
年生,4
权益,4
举报,4
包庇,4
发贴,4
统一,4
县人,4
刁难,4
一级,4
受理,4
条件,4
术后,4
沟通,4
住院部,4
生育权,4
我院,4
一方,4
证书,4
诊断,4
床位,4
临床,4
予以,4
修订,4
儿童医院,4
拆迁,4
到位,4
解答,4
多久,4
公立医院,4
报名,4
疾控中心,4
补贴,4
保障,4
过期,4
出面,4
诊疗,4
防疫站,4
感染,4
南华,4
血常规,4
取缔,4
转院,4
审批,4
生二孩,4
未婚,4
算不算,4
齐全,4
儿童,4
爸爸,4
医务科,4
收据,4
元月,4
丈夫,4
各有,4
系统,4
一对,4
患儿,4
年轻,4
原因,4
第一,4
广告,4
医药卫生,4
体制改革,4
附一,4
医德,4
打针,4
责任,4
社区卫生,4
惠民,4
外省,4
助理,4
医药公司,4
就诊,4
交钱,4
月份,4
婚后,4
专业,4
流产,4
设置,4
老年人,4
治疗费,4
职业,4
F市,4
人大常委会,4
违背,3
审核,3
法规,3
理由,3
补发,3
现年,3
城镇,3
生活用品,3
住院手续,3
事后,3
骨伤科,3
康复,3
看病难,3
基层医院,3
检测,3
为谢,3
负责,3
那种,3
违规,3
处罚,3
困难,3
陪护,3
肺炎,3
剖腹产,3
平台,3
关注,3
政发,3
户籍地,3
办事,3
手术室,3
直系亲属,3
天理何在,3
说西,3
权力,3
七里,3
停办,3
微创,3
并发症,3
中南大学,3
心脏,3
稳定,3
调整,3
剥夺,3
医疗卫生,3
得不到,3
公平,3
所在地,3
明年,3
卫生厅,3
妇女,3
中西医,3
入院,3
媳妇,3
万元,3
提成,3
省卫,3
黑诊所,3
业务,3
省里,3
能生,3
预防,3
符合国家,3
回乡,3
查询,3
羊水,3
胎心,3
胎儿,3
心脏病,3
红十字,3
执照,3
公职人员,3
乱收,3
前提,3
群众路线,3
卫生系统,3
同事,3
做主,3
死者,3
法律,3
专干,3
推脱,3
G市,3
繁重,3
食品,3
食品药品,3
西医,3
病友,3
结扎手术,3
小孩子,3
公务员,3
单上,3
管理条例,3
不适,3
时许,3
乱收费,3
附属,3
做个,3
产品,3
价格,3
病危,3
头孢,3
利益,3
顺产,3
二类,3
几千元,3
开放,3
不好,3
我该,3
村干部,3
可怜,3
南院,3
查处,3
急诊,3
科长,3
加重,3
各乡镇,3
公道,3
权利,3
户籍,3
质量,3
塘村,3
危房,3
几百块,3
打电话,3
领了,3
奖励金,3
B市,3
执行,3
我儿,3
身份证,3
甲等医院,3
省卫健委,3
依法,3
法律法规,3
儿科,3
凶手,3
女孩,3
我妻,3
一个男孩,3
一线,3
集体经济,3
规范,3
四胎,3
城市户口,3
感冒,3
病患,3
保安,3
中共中央国务院,3
器械,3
非常感谢,3
死亡,3
中心,3
救护车,3
我带,3
过问,3
夫妇,3
第二个,3
詹鸣,3
二个,3
户口本,3
没迁,3
施行,3
生有,3
查房,3
长此以往,3
妇科,3
卫生事业,3
半年,3
基药,3
正式,3
改革,3
可不可以,3
出生证,3
值班,3
监测,3
积极响应,3
采购,3
村级,3
盼望,3
城乡居民,3
一项,3
医师资格,3
绝育手术,3
实行,3
同意,3
态度恶劣,3
医治,3
县级,3
六个月,3
欧阳,3
一个月,3
流程,3
拒绝,3
鼓励,3
岗位,3
婴儿,3
家长,3
急救,3
明确规定,3
保胎,3
事故,3
草案,3
第十三次,3
十二届,3
药监局,3
没降,2
挂号费,2
过年,2
挂个,2
哪一年,2
这几年来,2
山门,2
高额,2
变质,2
鉴定书,2
鉴定结论,2
独生子女户,2
我能,2
周岁,2
优惠,2
指标,2
哲磨,2
生心,2
痛心入骨,2
能治,2
经济负担,2
治病救人,2
增加收入,2
有生之年,2
猪肉,2
很浓,2
超市,2
工伤,2
报告单,2
营养,2
呼吸衰竭,2
乡里,2
恶语伤人,2
概不负责,2
日住,2
范江花,2
尿毒症,2
主持公道,2
生产,2
开门,2
发个,2
北院,2
护理,2
呼吸,2
拿到,2
送点,2
接生,2
窗口,2
....,2
.....,2
不负责任,2
两女,2
份额,2
一人,2
协议书,2
减免,2
二婚,2
请假,2
土政策,2
落户,2
远程,2
保存,2
困扰,2
青山,2
我乡,2
没发,2
肯请,2
滋生腐败,2
专科医院,2
病历本,2
养家糊口,2
补助金,2
一点点,2
人大,2
开会,2
广西,2
育有,2
县政府,2
奖金,2
评估,2
陈小春,2
腐败,2
阻扰,2
公民,2
双份,2
无果,2
办事处,2
村里,2
领到,2
伤口,2
支架,2
造影,2
两子,2
又生,2
一女,2
小儿子,2
市镇,2
隔壁,2
花费,2
不让,2
贫困户,2
夫妻俩,2
歧视,2
现行,2
和谐,2
明文规定,2
正确,2
发表,2
办法,2
我镇,2
看病贵,2
侗族,2
精神病,2
省内,2
联网,2
精神,2
中医药,2
专长,2
速度,2
知法犯法,2
冻结,2
